Restaurant_Name,City,Place_Name,Cuisine,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Avg_Price_Restaurant,Restaurant_Popularity
Haka, Mumbai,Khar,Sichuan,3.822264031240087,3.9,0,804,303.77953488372094,86
Hello Burger's, Mumbai,Kurla,Sichuan,3.822264031240087,4.0,0,83,106.66666666666669,111
Hot N Spicy, Mumbai,Worli,Sichuan,3.822264031240087,3.6,0,0,130.58139534883722,86
Hundo Pizza, Mumbai,Khar,American,3.822264031240087,4.1,0,0,316.140350877193,57
Italian Bay, Mumbai,Bandra Kurla Complex,Beverages,3.822264031240087,4.2,0,911,325.8979591836735,147
Jhakas Family Restaurant, Mumbai,Wadala,Sichuan,3.822264031240087,3.7,0,668,345.86770428015564,257
Jimis Burger, Mumbai,Pali Hill,Beverages,4.3,4.2,529,859,274.45631067961165,103
Juno's Pizza - Baking Fresh Since 1974, Mumbai,Lower Parel,Beverages,4.2,3.8,0,0,295.1904761904762,126
KFC, Mumbai,Dadar Shivaji Park,Desserts,3.822264031240087,3.7,0,0,349.67315579227693,751
La Pino'z Pizza, Mumbai,Matunga East,Pasta,3.822264031240087,4.0,0,0,216.2983870967742,868
LeanCrust Pizza - ThinCrust Experts, Mumbai,Sion,Beverages,3.822264031240087,4.5,0,238,410.1214953271028,107
Mainland China, Mumbai,Lower Parel,Sichuan,3.822264031240087,4.1,0,643,550.2136585365853,164
Maiz Mexican Kitchen, Mumbai,Lower Parel,Salad,3.822264031240087,4.0,0,0,291.5304347826087,115
McDonald's, Mumbai,Star Mall,Beverages,3.6,4.0,0,0,264.2809762020398,2059
Meal Bowl, Mumbai,Lower Parel,Sichuan,3.822264031240087,4.0,0,0,230.8142857142857,140
Mealful Rolls - India's Biggest Rolls, Mumbai,Wadala,Beverages,3.822264031240087,4.0,0,556,233.34782608695653,69
Momo Guy, Mumbai,Worli,Momos,3.822264031240087,3.4,0,535,185.68965517241372,145
Mughlai Affair, Mumbai,Chembur,Rolls,3.822264031240087,3.6,0,0,196.64642857142857,280
Naadbramha Idli, Mumbai,Kurla,South Indian,3.8,4.0,0,0,86.0,10
New Pankaj - Sandwich & Pani Puri, Mumbai,Matunga East,Beverages,3.822264031240087,4.2,0,0,189.75352112676052,142
Nino Burgers, Mumbai,Dadar West,Fast Food,3.822264031240087,4.0,0,296,328.67164179104475,67
One By Two, Mumbai,Prabhadevi,Momos,3.822264031240087,4.0,0,0,227.94117647058823,85
Ovenfresh, Mumbai,Dadar Shivaji Park,Beverages,4.4,4.3,0,0,302.5463703703704,270
Oye Kiddan, Mumbai,Matunga East,Desserts,3.822264031240087,3.4,0,0,157.22875816993465,153
Pizza Hut, Mumbai,Dadar West,Fast Food,3.2,3.7,81,0,287.27036211699163,1077
PizzaExpress, Mumbai,Wadala,Beverages,3.822264031240087,3.9631842584799433,0,0,539.0161616161616,99
Potoba, Mumbai,Dadar West,Beverages,3.9,3.9,428,0,185.96022727272728,176
Raj Restaurant, Mumbai,Chembur,Biryani,3.8,4.1,345,0,354.2018018018018,555
SLAY Coffee, Mumbai,Worli,Shake,3.822264031240087,3.9,0,0,245.5465168539326,89
SP Burger, Mumbai,Chembur,Sichuan,3.9,4.1,130,0,92.81976744186046,86
Sahara Family Restaurant, Mumbai,Chembur,Sichuan,3.3,3.8,4,507,336.98425196850394,254
Shivsu Pizza, Mumbai,Chembur,Shake,3.7,3.8,16,330,138.80851063829786,141
Shobhaa Only Veg, Mumbai,Parel,Beverages,4.0,4.2,487,0,254.6455223880597,268
Slyce Pizza, Mumbai,Lower Parel,Fast Food,3.822264031240087,3.9,0,0,587.2586486486487,148
Smokin' Joe's, Mumbai,Wadala,Sandwich,3.1,3.6,131,0,333.6545454545454,110
Speak Burgers by Vicky Ratnani, Mumbai,Pali Hill,Fast Food,3.822264031240087,4.2,0,0,438.75409836065575,61
Starboy Pizza & Shakes, Mumbai,Worli,Beverages,3.822264031240087,3.5,0,0,181.1875,32
Subway, Mumbai,Matunga East,Beverages,2.7,4.1,449,0,245.1002430133657,823
The Belgian Waffle Co., Mumbai,Matunga East,Beverages,4.1,4.0,407,0,199.6914364640884,181
The Fatty Bao, Mumbai,Linking Road,Chinese,4.4,4.1,0,0,555.7209302325581,172
The Good Bowl, Mumbai,Wadala,Italian,3.822264031240087,3.9,0,912,234.51282051282053,78
The Matka Biryani, Mumbai,Lower Parel,Lucknowi,3.822264031240087,3.9,0,0,384.2093023255814,215
The Momo Factory, Mumbai,Dadar Shivaji Park,Fast Food,2.8,3.7,97,0,263.8439086294416,394
Theobroma, Mumbai,Matunga East,Beverages,3.8,4.1,177,0,388.8848920863309,278
Tossin Pizza, Mumbai,Worli,Beverages,4.0,4.3,25,322,377.5113636363636,176
Winners Pizza - Fresh Dough, Mumbai,Sion,Beverages,3.822264031240087,3.2,0,452,349.2142857142857,140
Wowfillss, Mumbai,Byculla,Beverages,3.822264031240087,4.0,0,944,130.3153153153153,111
Alkakori, New Delhi,Geeta Colony,Rolls,3.822264031240087,3.9,0,373,357.1857142857143,70
Anju Sweets, New Delhi,Inderlok,Desserts,4.3,3.8,711,0,185.22252747252747,364
Apni Rasoi Int, New Delhi,Pandav Nagar,Fast Food,3.6,3.8,356,0,187.81333333333333,150
Baap Of Rolls, New Delhi,Laxmi Nagar,Rolls,3.2,4.1,5,82,186.8095238095238,105
Big Smokin Burgers, New Delhi,Delhi University-GTB Nagar,Beverages,3.9,3.9,73,591,219.0952380952381,126
Burger Xpress, New Delhi,Mukherjee Nagar,Shake,3.7,3.9,2,0,150.7,170
Chili's Grill & Bar, New Delhi,Connaught Place,Beverages,4.5,4.1,0,0,408.7864077669903,103
Delhi Darbar Dhaba, New Delhi,Gole Market,Mughlai,3.8,3.7,135,0,233.1985018726592,267
Diggin, New Delhi,Connaught Place,Beverages,4.1,4.2,457,0,394.81366459627327,161
Farzi Cafe, New Delhi,Cyber Hub,Desserts,4.4,4.1,0,141,487.8301886792453,53
Good Flippin' Burgers, New Delhi,Greater Kailash 1 (GK1),Fast Food,3.822264031240087,4.4,0,0,254.7826086956522,69
Hashtag Foods, New Delhi,Kamla Nagar,Beverages,3.9,3.9,3,73,263.2151162790698,172
Hira Sweets, New Delhi,Laxmi Nagar,Mithai,3.822264031240087,4.0,0,0,225.7517098445596,386
ICP Italian Crust Pizza, New Delhi,Inderlok,Fast Food,3.822264031240087,3.5,0,58,223.41071428571428,56
If Pizza, New Delhi,Pandav Nagar,Fast Food,4.2,4.2,122,0,183.1282051282052,117
Kings Kulfi, New Delhi,Rajinder Nagar,Shake,4.5,4.4,227,0,106.008,125
Natural Ice Cream, New Delhi,Connaught Place,Beverages,4.8,4.5,0,0,137.70409523809525,105
Nazeer Foods, New Delhi,Lajpat Nagar 2,Rolls,3.4,3.7,24,456,232.614,85
Oven Day Pizza, New Delhi,West Patel Nagar,Shake,3.7,3.5,14,0,141.78378378378378,111
Paparizza - Woodfired Pizzas, New Delhi,Delhi University-GTB Nagar,Beverages,4.3,3.8,0,0,358.25136612021856,183
Pizza Studio, New Delhi,Laxmi Nagar,Fast Food,4.0,3.9,685,0,231.57875621890548,201
Prasuma Momo Kitchen, New Delhi,Karol Bagh,Chinese,3.822264031240087,4.3,0,132,227.68054945054945,91
Tite Da Dhaba, New Delhi,Rajouri Garden,North Indian,4.0,4.2,187,0,99.11818181818182,110
Wat-a-Burger! - India ka Burger, New Delhi,Connaught Place,Beverages,3.4,4.0,289,0,286.89969696969695,330
Aroma's Hyderabad House, Pune,Erandwane,Beverages,4.0,4.2,528,0,321.5416666666667,216
Bedi's Naan House, Pune,Dhankawadi,Biryani,3.7,3.6,281,0,154.1978021978022,91
Best Belgian Waffle, Pune,Erandwane,Beverages,3.2,4.2,173,0,213.0,95
Big Bowl, Pune,Kumar Pacific Mall,Momos,3.822264031240087,3.8,0,305,241.6985294117647,136
Big Daddy's, Pune,Salunkhe Vihar Road,Beverages,3.6,3.9,289,0,288.609756097561,123
Biggies Burger, Pune,FC Road,Desserts,4.0,4.2,102,487,202.5245901639344,122
Bikkgane Biryani, Pune,Kothrud,Mughlai,3.822264031240087,3.8,0,0,335.1333333333333,150
Blue Nile, Pune,Camp Area,Beverages,3.6,4.1,0,0,256.699716713881,353
Burger - Since 1989, Pune,Koregaon Park,Fast Food,4.0,4.3,0,0,91.78571428571428,28
Burger King, Pune,The Pavillion,Beverages,3.4,3.8,261,0,254.63289940828403,1352
Burgerino, Pune,Camp Area,Burger,3.822264031240087,3.5,0,234,179.01492537313433,67
Chaayos Chai+Snacks=Relax, Pune,Camp Area,Beverages,3.822264031240087,3.8,0,247,248.26994252873564,174
Chill Out, Pune,Bibvewadi,Beverages,3.7,4.3,32,0,112.5242718446602,103
Choice Only Veg, Pune,Fatima Nagar,Chinese,4.1,4.2,148,0,153.53271028037383,214
Copper Chocs, Pune,MG Road,Desserts,3.4,4.1,34,148,461.864,10
Cream Craver, Pune,Camp Area,Beverages,4.1,4.2,0,0,205.9540425531915,282
Domino's Pizza, Pune,Rasta Peth,Desserts,2.5,4.0,14,0,305.0587038327526,1435
Fried Chicken Destination, Pune,Kothrud,Fast Food,3.8,4.1,31,0,331.03076923076924,65
Garden Vada Pav Centre, Pune,Camp Area,Beverages,3.6,4.3,18,0,159.375,16
George Restaurant, Pune,Camp Area,Beverages,3.9,4.0,0,0,311.8627450980392,204
Hyderabadi Laziz, Pune,Karve Nagar,Hyderabadi,3.8,3.5,74,0,337.81538461538463,65
Imperial Bakery - Since 1955, Pune,East Street,Bakery,3.822264031240087,3.9631842584799433,0,3,51.3472,25
Jai Bhavani Snacks Center, Pune,Katraj,Beverages,3.5,4.3,5,0,38.75,16
KFC, Pune,R Deccan Mall,Beverages,3.7,3.8,917,0,349.67315579227693,751
KGN Xprs, Pune,Aundh,Sichuan,3.822264031240087,3.9,0,940,238.5225225225225,111
Kannu Ki Chai, Pune,FC Road,Coffee,3.5,4.2,11,541,149.1294827586207,116
Karachi Sweet Mart, Pune,Camp Area,Fast Food,3.822264031240087,3.9,0,730,362.4271844660194,206
Keventers - Milkshakes & Desserts, Pune,The Pavillion,Desserts,3.3,4.3,2,760,224.39866492146595,382
King Of Burger, Pune,Sinhgad Road,Beverages,3.822264031240087,3.7,0,0,155.53947368421052,76
Kwality Walls Frozen Dessert and Ice Cream Shop, Pune,Erandwane,Desserts,3.822264031240087,4.4,0,377,163.5984251968504,127
MH 12 Pav Bhaji, Pune,Rasta Peth,Shake,3.9,4.1,262,0,170.14396825396824,63
MOJO Pizza - 2X Toppings, Pune,Bund Garden Road,Beverages,3.822264031240087,4.3,0,0,341.6040268456376,298
Marrakesh, Pune,FC Road,Beverages,3.8,3.9,0,0,236.8170731707317,164
McDonald's, Pune,Shaniwar Peth,Beverages,3.6,4.2,2,0,264.2809762020398,2059
Monginis, Pune,Sadashiv Peth,Bakery,3.822264031240087,4.4,0,478,510.0,19
Mother's Kitchen, Pune,Kothrud,Biryani,4.1,3.9,93,0,273.3382352941176,272
NH1 Bowls - Highway To North, Pune,Dhole Patil Road,Beverages,3.822264031240087,4.3,0,727,231.67961165048544,103
NOTO - Healthy Ice Cream, Pune,Kothrud,Desserts,3.822264031240087,4.4,0,203,206.2377049180328,61
Natural Ice Cream, Pune,JM Road,Shake,4.2,4.5,368,0,137.70409523809525,105
New Bombay Sandwich Burger & Pizza, Pune,Vishrantwadi,Fast Food,3.822264031240087,3.6,0,479,101.09722222222224,72
Ovenstory Pizza, Pune,Shaniwar Peth,Fast Food,3.822264031240087,4.4,0,0,385.23701704545454,352
Piazza Pizza By Little Italy, Pune,Camp Area,Fast Food,3.7,3.4,26,163,324.8144329896907,97
Pizza Bites, Pune,Wadgaon Sheri,Beverages,3.7,4.3,15,231,251.6715286624204,157
Pizza Hut, Pune,Shukrawar Peth,Beverages,3.9,3.9,91,838,287.27036211699163,1077
Pokket Cafe, Pune,Karve Nagar,Desserts,3.4,3.5,38,139,151.50259067357513,193
RK Pure Veg, Pune,Vishrantwadi,Sichuan,3.7,3.8,208,0,195.0520231213873,346
Reddy's Fast Food, Pune,Yerawada,Sichuan,3.5,3.9,82,0,199.8828125,128
Roll Point, Pune,Dhankawadi,Chinese,4.0,4.1,111,0,139.1549295774648,142
Rolls Mania, Pune,Sadashiv Peth,Beverages,4.1,4.2,87,0,200.80438902743143,401
Roopali Veg, Pune,Bibvewadi,Beverages,3.6,4.2,20,0,178.46052631578948,380
Sandwich Express, Pune,Koregaon Park,Beverages,3.822264031240087,4.2,0,0,128.8984375,128
Saparito Pizza, Pune,Sadashiv Peth,Beverages,3.822264031240087,4.2,0,384,196.12698412698413,63
Subway, Pune,FC Road,Beverages,3.1,4.1,310,0,245.1002430133657,823
Sudama Bhel, Pune,Yerawada,Fast Food,3.822264031240087,3.9,0,174,78.75,36
Sukanta, Pune,Deccan Gymkhana,Beverages,4.2,4.1,0,0,352.3825,4
Supreme Sandwich Corner, Pune,Budhwar Peth,Beverages,2.9,4.2,10,0,180.7843137254902,51
The Chinese Wok, Pune,Kondhwa,Sichuan,4.0,4.0,99,0,288.2241379310345,406
The Pizza Box, Pune,Senapati Bapat Road,Beverages,4.1,3.8,128,515,285.83838383838383,99
Third Wave Coffee, Pune,Karve Nagar,Pizza,4.0,4.3,36,664,265.429375,144
Wendy's, Pune,Law College Road,Fast Food,3.822264031240087,3.8,0,520,276.5336322869955,223
Ariena Boutique Hotel, Raipur,Purena,Pizza,3.9,4.2,13,523,354.4755244755245,286
Ashifa Laziz Biryani, Raipur,Kota,Pizza,3.4,4.1,5,909,99.0,37
Axis Juice, Raipur,Devendra Nagar,Pizza,3.822264031240087,4.2,0,0,184.572351543943,421
Behrouz Biryani, Raipur,Govind Nagar,Pizza,3.822264031240087,4.4,0,0,609.2972972972973,333
Binge Box, Raipur,Jawahar Nagar,Pizza,3.822264031240087,3.9,0,545,204.2525252525253,99
Bunk Class, Raipur,Amanaka,Pizza,4.0,3.7,211,0,135.5625,256
Burger Singh - Big Punjabi Burgers, Raipur,Tatibandh,Pizza,3.822264031240087,3.9631842584799433,0,0,217.35655913978496,279
CA's Kitchen, Raipur,Shankar Nagar,Pizza,3.822264031240087,3.2,0,852,142.289453125,128
Cafe 36, Raipur,Samta Colony,Pizza,3.1,4.1,10,148,133.4431137724551,167
Chai Govindam, Raipur,Tikrapara,Pizza,3.8,4.1,18,0,75.69672131147541,61
Chapter One, Raipur,Shankar Nagar,Pizza,4.3,3.8,20,228,182.64864864864865,111
Chef's Kitchen, Raipur,Civil Lines,Pizza,4.0,3.9,413,0,236.112,250
Chicago Pizza, Raipur,Mowa,Pizza,3.1,3.6,29,844,268.2758620689655,87
Confusion Box, Raipur,Devendra Nagar,Pizza,3.822264031240087,3.7,0,0,228.7289719626168,107
Creams N Caffeine, Raipur,Samta Colony,Pizza,4.3,3.5,217,0,181.55980861244012,209
Dakshin Swaad, Raipur,Moudhapara,Pizza,3.7,4.2,100,0,98.51063829787236,47
Galaxy Food Centre, Raipur,Samta Colony,Pizza,3.822264031240087,3.6,0,242,132.10526315789474,95
Goli Rolls And Vada Pav, Raipur,Samta Colony,Pizza,3.822264031240087,4.3,0,162,110.85106382978724,94
Hot 100, Raipur,Devendra Nagar,Pizza,4.2,4.3,252,0,203.18250950570345,263
Hot Chemistry- Indian Heritage Hotel, Raipur,Moudhapara,Pizza,4.0,4.3,26,645,188.75384615384613,65
Hotel Hyderabadi, Raipur,Moudhapara,Pizza,4.2,3.8,452,0,159.6,215
Hotel Hyderabadi, Raipur,Mahaveer Nagar,Pizza,3.822264031240087,3.8,0,469,159.6,215
Iconic Cafe, Raipur,Purena,Pizza,3.822264031240087,4.0,0,63,98.46938775510203,98
Jalaram Sweets And Namkeen, Raipur,Tikrapara,Pizza,3.822264031240087,4.1,0,346,109.53846153846152,91
Just Chaska, Raipur,Mowa,Pizza,3.5,3.6,10,699,152.88888888888889,45
KGN Chicken Corner & Biryani Center, Raipur,Mowa,Pizza,3.1,3.7,44,0,98.3695652173913,46
Kikki's Cafe, Raipur,Samta Colony,Pizza,3.9,4.1,177,0,214.01408450704224,142
Manju Mamta Restaurant, Raipur,Jawahar Nagar,Pizza,4.2,4.2,0,0,162.69230769230768,156
Mario's, Raipur,Moudhapara,Pizza,3.822264031240087,4.0,0,0,186.54954337899545,219
Momo Magic Cafe, Raipur,Civil Lines,Pizza,3.822264031240087,4.3,0,0,203.30921052631572,152
Moti Mahal, Raipur,Jawahar Nagar,Pizza,4.0,3.6,70,0,208.17857142857144,392
Pavdos Cafe, Raipur,Civil Lines,Pizza,3.8,3.7,44,0,146.28514056224898,249
Pizza @90, Raipur,Samta Colony,Pizza,3.822264031240087,3.8,0,399,76.77966101694915,59
Pizza Olive, Raipur,Devendra Nagar,Pizza,3.822264031240087,4.2,0,225,165.09736434108527,129
Pizza@89, Raipur,Samta Colony,Pizza,3.822264031240087,3.6,0,0,173.8181818181818,44
Pohewala, Raipur,Samta Colony,Pizza,3.822264031240087,4.3,3,176,101.1153846153846,52
Pure Momos, Raipur,Civil Lines,Pizza,3.822264031240087,3.4,0,114,175.9787234042553,282
Rolls Mania, Raipur,Samta Colony,Pizza,3.822264031240087,4.3,0,0,200.80438902743143,401
Sam's Pizza, Raipur,Mahaveer Nagar,Pizza,4.1,4.0,152,0,257.98148148148147,108
Samriddhi Thali, Raipur,Tatibandh,Pizza,3.822264031240087,4.0,0,452,131.9056603773585,106
Sandwich Jn., Raipur,Devendra Nagar,Pizza,3.8,4.3,70,881,148.8826815642458,179
Sandwich Jn., Raipur,Samta Colony,Pizza,3.9,4.1,101,0,148.8826815642458,179
Sandwich Junction, Raipur,Mowa,Pizza,3.822264031240087,4.0,0,184,120.95238095238096,42
Sikkim Jojo, Raipur,Civil Lines,Pizza,3.822264031240087,3.5,0,0,85.38461538461539,39
Sip & Bite, Raipur,Civil Lines,Pizza,4.0,3.7,226,0,182.28703703703704,324
Starbucks Coffee, Raipur,Shankar Nagar,Pizza,3.2,4.2,9,605,278.26964285714286,112
Tandoor -3 Family Dhaba, Raipur,Mahaveer Nagar,Pizza,3.2,4.0,28,0,177.84574468085106,188
The Breakfast Cafe, Raipur,Civil Lines,Pizza,3.822264031240087,3.6,1,682,180.23809523809524,168
Uno Dos Tres, Raipur,Civil Lines,Pizza,3.3,3.6,18,351,159.98214285714286,280
Urban Biryani, Raipur,Tatibandh,Pizza,4.0,4.0,23,0,208.2056277056277,462
Ustaad's Kitchen, Raipur,Devendra Nagar,Pizza,4.2,4.2,142,0,265.09615384615387,52
Veggiies, Raipur,Civil Lines,Pizza,4.1,3.7,154,0,224.32422222222223,90
Wafflez, Raipur,Samta Colony,Pizza,4.1,4.1,171,0,140.1764705882353,51
Xero Degrees, Raipur,Shankar Nagar,Pizza,3.822264031240087,4.0,0,696,282.16062176165804,193
Dum Safar Biryani, Ulsoor,Lido Mall,Desserts,3.822264031240087,4.0,0,7,663.3594470046083,217
