Restaurant_Name,City,Place_Name,Cuisine,Dining_Rating,Delivery_Rating,Dining_Votes,Delivery_Votes,Avg_Price_Restaurant,Restaurant_Popularity
The Old Mirchi Biryani, Chennai,Alwarpet,Desserts,3.822264031240087,4.2,0,0,268.1851851851852,135
Tibet Momo - World Class Pan Asian Cuisine, Chennai,Kora Food Street,Tibetan,3.9,4.1,99,0,169.0,20
Toscano, Chennai,Nungambakkam,Beverages,4.7,4.1,891,0,501.85641025641024,195
Tower Burger, Chennai,Perambur,Beverages,3.8,3.7,0,64,110.20560747663552,107
UBQ by Barbeque Nation, Chennai,Nungambakkam,Desserts,3.822264031240087,3.9,0,0,438.49013157894734,304
WOW! China, Chennai,Aminijikarai,Seafood,4.0,3.8,77,709,256.0793926247289,461
Wangs Kitchen, Chennai,Royapettah,Desserts,3.3,4.0,279,0,395.0709219858156,141
Writer's Cafe, Chennai,Egmore,Beverages,4.1,4.0,31,0,185.1214893617021,141
Zam Zam Briyani, Chennai,Choolaimedu,North Indian,3.3,3.4,24,0,233.5299145299145,117
Asian Bowls By Zahvi, Goa,Porvorim,Vietnamese,3.822264031240087,3.9631842584799433,0,3,512.5,4
Atlanta  Family Resto And Bar, Goa,Porvorim,Ice Cream,3.822264031240087,3.9631842584799433,0,0,275.99378881987576,161
Atom-Bomb Quality Kitchen, Goa,Penha de Franca,Sichuan,3.822264031240087,3.5,0,508,302.33962264150944,53
Bar Malim, Goa,Penha de Franca,Fast Food,3.822264031240087,3.9631842584799433,0,0,145.58823529411765,68
Bhosle's Food Court, Goa,Panaji,North Indian,2.7,3.9631842584799433,15,1,76.35483870967742,31
Biryani Hub, Goa,Porvorim,Desserts,3.822264031240087,3.9631842584799433,0,0,375.5,20
Cafe Ave Maria, Goa,Panaji,Bakery,3.822264031240087,3.9,0,807,176.9277108433735,83
Cafe Central, Goa,Penha de Franca,Street Food,3.9,4.0,15,31,114.08809523809524,21
Cafe Cilantro, Goa,Porvorim,Maharashtrian,3.822264031240087,3.7,0,250,237.98076923076923,52
Cafe Cup Of Joy, Goa,Candolim,Street Food,3.822264031240087,3.9631842584799433,0,4,131.25,16
Cafe Feed Me More, Goa,Saligao,Fast Food,3.822264031240087,3.9631842584799433,0,1,112.57575757575758,33
Cafe Rasa, Goa,Panaji,Sandwich,3.9,3.9631842584799433,16,0,298.3333333333333,30
Cake Destination, Goa,Porvorim,Desserts,3.822264031240087,3.9631842584799433,0,0,122.3076923076923,13
Evoke, Goa,Candolim,Thai,3.822264031240087,3.9631842584799433,0,0,336.5,4
Goa'rmet By The Tiffin Factory, Goa,Panaji,Desserts,3.822264031240087,3.9631842584799433,0,14,218.8188976377953,127
Goyaan, Goa,Porvorim,Fast Food,3.822264031240087,3.9631842584799433,0,0,165.31914893617022,47
Grillin' It, Goa,Porvorim,Biryani,3.9,3.5,10,45,283.2716049382716,81
Joshis Masala Mantra, Goa,Panaji,Sichuan,3.822264031240087,3.9,0,132,232.2549019607843,153
Jubilee Restaurant, Goa,Panaji,Chinese,3.822264031240087,3.9631842584799433,0,0,133.88888888888889,81
Mum Mai, Goa,Panaji,Fast Food,3.822264031240087,4.1,0,131,167.0,40
NR - Navaratna Udupi Pure Veg, Goa,Porvorim,South Indian,3.822264031240087,3.8,2,418,179.63345195729536,281
Namaste Chai, Goa,Porvorim,Ice Cream,3.822264031240087,3.9,0,590,75.89322916666667,96
Pakiza Restaurant, Goa,Panaji,North Indian,3.8,3.7,19,204,162.82926829268294,41
Patil Misal, Goa,Porvorim,Maharashtrian,3.7,3.5,24,129,46.84615384615385,13
Poi & Rolls Adda, Goa,Panaji,Rolls,3.822264031240087,3.9631842584799433,0,11,171.95454545454547,22
Ritz Classic, Goa,Mall De Goa,Beverages,4.4,4.1,105,405,372.8967254408061,397
Shivam Classic, Goa,Panaji,Beverages,3.822264031240087,3.9631842584799433,0,3,174.55384615384617,195
TFC - The Food Club, Goa,Bardez,Fast Food,3.822264031240087,3.8,0,53,223.445945945946,74
Tasty Tiffin Food Service, Goa,Penha de Franca,North Indian,3.822264031240087,4.1,0,222,104.48,25
The Royal Rucchik Restaurant, Goa,Porvorim,Sichuan,3.4,3.2,9,381,135.77586206896552,58
The Royal Ruchik, Goa,Panaji,Biryani,3.6,4.2,36,0,183.225,40
4M Biryani House, Hyderabad,Musheerabad,Chinese,4.1,4.2,0,0,211.5703125,128
A Balaji Santosh Dhaba, Hyderabad,Langer Houz,Chinese,3.7,4.0,9,974,288.5988700564972,177
Acme Candy Food, Hyderabad,Malakpet,Desserts,3.822264031240087,3.9631842584799433,0,0,262.3529411764706,17
Akbar Fast Food, Hyderabad,Charminar Area,North Indian,3.1,3.6,10,0,126.0,5
Al - Hamoor Arabian Restaurant, Hyderabad,Chandrayanagutta,Desserts,3.822264031240087,3.8,1,116,428.0,5
Al Akbar Fast Food Corner, Hyderabad,Charminar,Beverages,3.9,4.2,5,0,152.375,16
Al Farooj Sonu Kabab, Hyderabad,Ghansi Bazaar,North Indian,4.0,3.9,66,0,181.6818181818182,44
Al Rabea Al Arabi Cafeteria, Hyderabad,Saroor Nagar,Fast Food,3.2,4.4,40,0,162.95238095238096,42
Al Rabea Mandi House, Hyderabad,Charminar,Mandi,3.822264031240087,4.3,1,198,466.4285714285714,14
Ambika Foods, Hyderabad,Attapur,Momos,3.822264031240087,3.9,0,111,154.2016806722689,119
Amfah Hotel, Hyderabad,Mehdipatnam,North Indian,4.2,3.7,129,0,214.8048780487805,41
Arabian Central, Hyderabad,Chandrayanagutta,Fast Food,2.9,4.3,8,975,160.0,40
Arabian Food Court, Hyderabad,Falaknuma,Fast Food,3.822264031240087,4.0,0,217,93.0,5
Art Of Biryani, Hyderabad,Kothapet,Desserts,4.0,3.7,63,0,349.969696969697,99
Balaji Santosh Family Dhaba, Hyderabad,Amberpet,Beverages,3.8,4.1,273,0,238.99497487437185,199
Barbeque Nation, Hyderabad,Abids,Beverages,4.2,3.8,34,369,656.7478991596639,119
Barrack's Grill, Hyderabad,Chandrayanagutta,Beverages,3.822264031240087,4.1,0,403,180.5,58
Bawarchi, Hyderabad,RTC X roads,Desserts,4.2,4.1,0,0,178.33333333333334,135
Blue Sea Restaurant, Hyderabad,Basheer Bagh,North Indian,3.822264031240087,4.1,2,940,213.57954545454547,176
Blue Sea Tea & Bakery, Hyderabad,Abids,Bakery,3.822264031240087,3.9631842584799433,0,0,155.0,36
BrownBear, Hyderabad,Himayath Nagar,Fast Food,3.6,4.0,239,0,371.0,35
Burger King, Hyderabad,The Next Galleria Mall,Fast Food,4.1,4.1,253,0,254.63289940828403,1352
Cafe 555 & Aqeeq Restaurant, Hyderabad,Masab Tank,Desserts,4.2,4.1,0,0,218.39518900343643,291
Cafe Niloufer, Hyderabad,Himayath Nagar,Beverages,4.3,4.4,338,0,235.8102643171806,227
CakeZone, Hyderabad,Himayath Nagar,Desserts,3.822264031240087,4.2,0,0,416.0851063829787,188
California Burrito, Hyderabad,Boiguda,Beverages,4.2,4.3,221,0,221.4361403508772,114
Capital Multi Cuisine Restaurant, Hyderabad,Malakpet,Beverages,4.2,3.9,0,0,336.6788990825688,545
Capital Multi Cuisine Restaurant, Hyderabad,Basheer Bagh,Mughlai,2.7,3.7,32,428,336.6788990825688,545
Captain Kunafa, Hyderabad,Malakpet,Turkish,4.1,4.1,208,699,244.0909090909091,22
Chotu's The Food People, Hyderabad,Ghansi Bazaar,Biryani,3.7,3.7,64,0,106.69426751592356,157
Coffee Cream, Hyderabad,Ghansi Bazaar,Chinese,3.2,4.0,42,0,166.58407079646017,113
Cream Stone Ice Cream, Hyderabad,Begum Bazaar,Desserts,4.1,4.3,133,0,264.7217391304348,115
Crystal Restaurant & Bar, Hyderabad,Nallakunta,Biryani,4.2,3.9,697,0,297.68398268398266,231
Dine Hill, Hyderabad,Masab Tank,Chinese,4.1,3.9,0,0,312.90625,128
Doner King, Hyderabad,Malakpet,Fast Food,3.9,4.2,39,0,171.34782608695653,46
Down Town Restaurant & Cafeteria, Hyderabad,Masab Tank,Beverages,3.822264031240087,3.9631842584799433,0,0,153.07692307692307,13
Exotica, Hyderabad,12th Square Building,Beverages,4.6,4.3,0,0,561.7751479289941,169
Express By ABs, Hyderabad,Malakpet,Biryani,3.822264031240087,3.8,0,112,290.30559139784947,93
Faasos - Wraps & Rolls, Hyderabad,Abids,Rolls,3.822264031240087,4.0,0,0,298.8417980295567,406
Fancy Ice Cream, Hyderabad,Charminar,Ice Cream,3.0,4.1,17,0,137.97368421052633,114
Food Track, Hyderabad,Charminar,Beverages,4.3,4.1,16,0,130.04854368932038,103
Gelatica Gelato - Ice Cream, Hyderabad,Narayanguda,Desserts,3.822264031240087,3.9,0,203,99.0,22
Govind Dosa, Hyderabad,Charminar,South Indian,4.4,3.5,997,0,89.48529411764706,68
Grand Bawarchi Restaurant, Hyderabad,Falaknuma,Kebab,4.2,4.2,423,0,338.05555555555554,72
Grand Hotel, Hyderabad,Abids,Beverages,4.2,4.1,0,0,202.511961722488,209
Hotel Nayaab, Hyderabad,Charminar,Beverages,4.3,4.0,540,0,273.9583333333333,72
Hotel Rumaan, Hyderabad,Charminar,North Indian,4.1,4.1,0,115,190.20967741935485,62
Hotel Shadab, Hyderabad,Ghansi Bazaar,Beverages,4.3,4.1,0,0,283.77659574468083,94
Hotel Shubham Prestige, Hyderabad,Saroor Nagar,Beverages,3.5,3.8,57,0,222.6455696202532,237
Hotel Swagath Grand, Hyderabad,Meerpet,Beverages,4.2,4.0,495,0,226.30701754385964,228
Indira Darshini, Hyderabad,Khairatabad,North Indian,4.1,4.0,131,0,118.17117117117115,111
Iqbal Cafe, Hyderabad,Charminar,Biryani,3.1,4.3,12,0,111.25,36
Istanbul, Hyderabad,Malakpet,Wraps,4.3,4.3,236,0,176.4102564102564,39
Italian Pizzeria, Hyderabad,Mehdipatnam,Shake,4.0,3.5,325,0,179.5505617977528,178
KS Bakers, Hyderabad,Narayanguda,Burger,3.2,4.0,10,0,202.03676470588235,136
Karachi Bakery, Hyderabad,Nampally,Fast Food,3.822264031240087,3.8,0,332,309.88070967741936,155
Kritunga, Hyderabad,Himayath Nagar,Beverages,3.1,3.7,31,0,257.5,12
Kwality Walls Frozen Dessert and Ice Cream Shop, Hyderabad,Kacheguda,Desserts,3.822264031240087,4.5,0,346,163.5984251968504,127
La Pino'z Pizza, Hyderabad,Himayath Nagar,Fast Food,3.9,4.0,6,505,216.2983870967742,868
Lassi Shop, Hyderabad,Malakpet,Desserts,3.4,4.1,14,662,99.09183673469389,294
Late Night Biryani, Hyderabad,Saroor Nagar,North Indian,3.822264031240087,3.4,0,0,215.42857142857144,56
Leon's Burgers & Wings, Hyderabad,Himayath Nagar,Fast Food,3.3,4.2,20,0,221.20527131782944,129
Louis Burger, Hyderabad,Banjara Hills,Fast Food,3.822264031240087,4.1,0,774,350.04395604395603,91
Lucky Multicuisine Restaurant, Hyderabad,Somajiguda,Mandi,4.2,3.8,692,0,225.61567164179104,268
Lucky Restaurant, Hyderabad,Saroor Nagar,Beverages,4.1,4.0,0,0,235.03472222222223,144
MRCB, Hyderabad,Dilsukhnagar,Mughlai,3.822264031240087,3.2,0,129,129.56666666666666,60
MS Bakery, Hyderabad,Attapur,Bakery,3.822264031240087,4.1,0,0,154.2396694214876,121
MS Bakery & Sweets, Hyderabad,Falaknuma,Pizza,3.822264031240087,4.2,0,0,177.59285714285716,140
MS Mandi & Shawarma, Hyderabad,Charminar,Beverages,3.8,3.9,33,0,230.71518987341773,158
Mandi Town, Hyderabad,Khairatabad,Kebab,3.4,3.8,5,535,555.3333333333334,30
Marhaba Shawarma & Wraps, Hyderabad,Himayath Nagar,Shake,3.7,4.0,26,587,189.025,40
Mataam Al Yamani, Hyderabad,Lakdikapul,Mandi,3.7,3.7,144,0,299.0135714285714,42
Mayur Pan House, Hyderabad,Abids,Ice Cream,4.3,3.9,564,0,124.77173913043478,184
McDonald's, Hyderabad,MPM Mall,Fast Food,3.2,3.9,137,0,264.2809762020398,2059
Mehfil, Hyderabad,Narayanguda,North Indian,4.1,4.0,0,0,234.1358695652174,184
Mohammedia Shawarma, Hyderabad,Saroor Nagar,Fast Food,3.4,3.8,2,18,150.0,9
Mughal Restaurant, Hyderabad,Lakdikapul,Desserts,3.8,4.1,258,0,190.45967741935485,124
NIC Ice Creams, Hyderabad,Narayanguda,Desserts,3.822264031240087,4.4,0,0,196.3634210526316,228
Natural Ice Cream, Hyderabad,Himayath Nagar,Desserts,3.822264031240087,4.5,0,368,137.70409523809525,105
Nazeer Juice Center, Hyderabad,Charminar,Shake,2.9,4.2,5,0,151.7,50
New Grand Restaurant & Bakery, Hyderabad,Begum Bazaar,Bakery,4.0,4.0,129,0,136.515625,256
New King Safina Hotel, Hyderabad,Charminar,North Indian,3.8,4.3,146,0,195.8181818181818,44
New Santosh Dhaba, Hyderabad,Begum Bazaar,Beverages,4.2,3.7,209,0,173.45197740112994,177
Nimrah Restaurant, Hyderabad,Nampally,Desserts,3.9,4.1,72,857,245.8823529411765,187
Onesta, Hyderabad,Banjara Hills,Beverages,4.3,3.6,0,0,232.26657458563537,362
Ovenstory Pizza, Hyderabad,Abids,Fast Food,3.822264031240087,4.1,0,0,385.23701704545454,352
Papadams Blue, Hyderabad,Kothapet,Desserts,4.0,3.9,625,0,303.25,228
Paradise Biryani, Hyderabad,Charminar Area,Desserts,3.7,3.5,46,0,333.6216216216216,37
Peshawar, Hyderabad,Malakpet,Chinese,3.1,4.1,4,540,321.43333333333334,90
Pista House, Hyderabad,Charminar Area,Beverages,3.7,4.1,40,0,346.57522123893807,113
Pista House - Premium Lounge, Hyderabad,Charminar Area,Beverages,3.1,4.1,16,0,256.2985074626866,201
Pista House Bakery, Hyderabad,Charminar,Beverages,3.822264031240087,4.3,0,0,513.3112582781457,151
Pizza Hut, Hyderabad,Kacheguda,Beverages,3.5,3.8,46,0,287.27036211699163,1077
Platform 65, Hyderabad,Dilsukhnagar,Beverages,4.0,4.0,924,0,283.54,250
Red Bucket Biryani, Hyderabad,Saroor Nagar,Biryani,3.822264031240087,4.1,0,100,1011.71875,64
Redaan Restaurant, Hyderabad,Charminar,North Indian,3.822264031240087,4.3,3,743,219.65546218487395,119
Santosh Dhaba, Hyderabad,Abids,Desserts,4.3,3.9,0,0,221.4447852760736,326
Sarvi Restaurant, Hyderabad,Banjara Hills,Beverages,4.2,4.0,0,0,282.5925925925926,108
Scoops Ice Cream, Hyderabad,Charminar,Pizza,3.3,4.4,6,915,133.68416666666667,120
Shadaan Restaurant, Hyderabad,Chandrayanagutta,Hyderabadi,3.8,4.2,19,0,184.8,105
Shah Ghouse Hotel & Restaurant, Hyderabad,Charminar,Desserts,4.2,4.2,0,0,330.80084388185657,237
Shah Ghouse Special Shawarma, Hyderabad,Charminar,Beverages,4.3,4.1,156,0,139.25842696629215,267
Sherton Restaurant, Hyderabad,Amberpet,Biryani,4.0,4.2,0,0,284.60176991150445,113
Shree Santosh Family Dhaba, Hyderabad,Himayath Nagar,Beverages,4.1,4.1,182,0,222.62608695652173,230
Siddique Kabab Centre, Hyderabad,Tolichowki,Chinese,4.4,4.1,732,0,223.6170212765957,47
Sip & Bite, Hyderabad,Malakpet,Beverages,3.5,3.8,14,175,182.28703703703704,324
Spice 9 Restaurant, Hyderabad,Malakpet,Seafood,3.6,3.9,30,0,259.8294930875576,217
Subhan Bakery, Hyderabad,Nampally,Bakery,3.9,4.6,12,0,257.6190476190476,21
Subway, Hyderabad,Malakpet,Beverages,3.8,3.8,113,0,245.1002430133657,823
Surabhi Grand, Hyderabad,Amberpet,Beverages,3.7,4.0,434,0,324.88829787234044,188
Swagth Hotel, Hyderabad,Charminar,Chinese,3.822264031240087,4.1,0,0,136.41666666666666,120
Swiss Castle, Hyderabad,Abids,Fast Food,4.1,4.5,162,0,190.1813445378151,119
Taco Bell, Hyderabad,The Next Galleria Mall,Wraps,4.3,3.7,117,0,192.5007216494845,97
Taj Mahal - Taj Mahal Hotel, Hyderabad,Taj Mahal Hotel,Beverages,4.1,4.1,0,0,124.71559633027525,109
The Belgian Waffle Co., Hyderabad,Attapur,Ice Cream,3.9,4.3,1,0,199.6914364640884,181
The Burger Club, Hyderabad,Koti,Shake,3.822264031240087,3.3,0,241,130.44155844155844,77
The Exotic Shawarma, Hyderabad,Mehdipatnam,Shawarma,3.7,4.0,44,0,180.76470588235293,51
The Tea Planet, Hyderabad,Attapur,Coffee,3.4,3.6,0,116,105.28148148148148,135
The Thickshake Factory, Hyderabad,Himayath Nagar,Beverages,3.4,3.8,38,0,227.53398058252424,103
The Wrap House, Hyderabad,Malakpet,Fast Food,4.0,4.1,60,0,204.56140350877192,57
Tibb's Frankie - Serving Rolls Since 1969, Hyderabad,MPM Mall,Rolls,3.8,4.5,93,0,79.16666666666667,12
Tipsy Topsy Bakery, Hyderabad,Saroor Nagar,Chinese,3.8,3.9,225,0,174.9712643678161,174
UBQ by Barbeque Nation, Hyderabad,Banjara Hills,Desserts,3.822264031240087,3.7,0,0,438.49013157894734,304
Universal Al Mataam Mandi Kebab & Biryani, Hyderabad,Yousufguda,Kebab,3.9,3.7,288,0,244.2093023255814,129
WOW! Momo, Hyderabad,Malakpet,Beverages,3.822264031240087,4.2,0,726,192.7151861702128,376
Wendy's Burgers, Hyderabad,Abids,Beverages,3.822264031240087,4.1,0,0,241.7195652173913,460
Yashwanth Pizza Den, Hyderabad,RTC X roads,Beverages,3.822264031240087,4.0,0,15,167.42696629213484,89
Zafar's Fine Dine, Hyderabad,Tolichowki,Desserts,3.9,4.0,306,0,357.96380090497735,221
Zaffran Mataam Alarabi, Hyderabad,Falaknuma,Desserts,4.1,4.1,482,911,805.6521739130435,23
Zomoz - The Momo Company, Hyderabad,Abids,Fast Food,3.822264031240087,4.3,0,726,158.8067032967033,91
Agarwal Caterers, Jaipur,Shastri Nagar,Fast Food,3.6,4.3,54,0,132.35106750392467,637
Amma Ki Rasoi, Jaipur,MI Road,Wraps,3.822264031240087,3.3,0,571,188.5952380952381,42
Andewalaz, Jaipur,Masala Chowk,Street Food,3.3,4.0,41,0,167.02189781021897,137
Arham, Jaipur,Ajmer Highway,Beverages,4.1,4.1,230,0,228.8639240506329,316
Balaji Fast Food, Jaipur,Brahmpuri,Street Food,3.8,3.4,5,708,118.0952380952381,105
Barista Coffee, Jaipur,C Scheme,Desserts,4.1,4.0,221,441,214.12857142857143,140
Basant Dhaba, Jaipur,Gopalpura,Beverages,3.0,3.9,142,0,204.25,208
Bell Pepper Pizza, Jaipur,Jhotwara,Beverages,4.1,3.9,151,666,199.7311827956989,93
Brown Sugar, Jaipur,Axis Mall,Beverages,4.1,4.2,0,0,262.4681210191083,314
Burger Farm, Jaipur,C Scheme,Beverages,4.1,4.2,0,0,183.28481675392672,191
Burger King, Jaipur,Pink Square Mall,Beverages,4.0,4.0,162,0,254.63289940828403,1352
Burger Lane, Jaipur,Raja Park,Fast Food,3.822264031240087,3.5,0,343,121.009,50
Burger Shack, Jaipur,C Scheme,Beverages,3.9,4.2,78,0,124.8360655737705,122
Burger Singh - Big Punjabi Burgers, Jaipur,Raja Park,Fast Food,3.8,4.2,11,210,217.35655913978496,279
Burgs & Fries, Jaipur,Raja Park,Beverages,3.822264031240087,3.9,0,0,265.3532608695652,92
Cake Hut, Jaipur,Sodala,Desserts,3.822264031240087,3.8,0,407,800.4,50
Captain Chick, Jaipur,Jhotwara,Fast Food,3.0,4.2,9,844,179.20289855072463,69
Chawla's Restaurant, Jaipur,C Scheme,Chinese,4.1,4.0,411,0,358.7206477732793,247
Chops 'N' Woks, Jaipur,Raja Park,Beverages,3.822264031240087,3.9631842584799433,0,0,238.55421686746988,83
Choudhary Dhaba, Jaipur,Khatipura Road,Chinese,3.4,3.9,427,0,141.50222222222223,225
Dip N Bite, Jaipur,Tonk Phatak,Beverages,3.6,3.9,9,361,135.3709677419355,62
Domino's Pizza, Jaipur,C Scheme,Fast Food,3.1,4.0,814,0,305.0587038327526,1435
FPF  Coffee Wale Bhaiya, Jaipur,Pink City,Beverages,3.1,4.1,9,914,144.45454545454547,99
FPF Coffee Wale Bhaiya, Jaipur,Vidhyadhar Nagar,Beverages,3.8,4.1,12,388,147.53684210526316,95
Firewood Pizza, Jaipur,Gopalpura,Italian,3.822264031240087,3.3,0,320,168.064,125
Flavorsome Feasts, Jaipur,Vaishali Nagar,Beverages,3.822264031240087,3.7,0,0,280.7241379310345,145
Friedisthan, Jaipur,Raja Park,Beverages,3.822264031240087,4.1,0,0,278.7033333333333,168
Game Of Spices, Jaipur,Mansarovar,Sichuan,4.3,3.7,88,0,330.9105691056911,246
